name,category,ats,token,url,n_jobs,checked_at
ERG,flex_optimiser,lever,erg,https://api.lever.co/v0/postings/erg?mode=json,28,2026-08-10T16:11:06+00:00
Elgin Energy,flex_optimiser,personio,elgin-energy,https://elgin-energy.jobs.personio.com/xml,7,2026-08-10T16:11:31+00:00
Enso Energy,flex_optimiser,teamtailor,enso,https://enso.teamtailor.com/jobs.rss,1,2026-08-10T16:11:51+00:00
Entrix,flex_optimiser,personio,entrix,https://entrix.jobs.personio.com/xml,14,2026-08-10T16:04:39+00:00
Foresight Group,flex_optimiser,ashby,foresight,https://api.ashbyhq.com/posting-api/job-board/foresight,1,2026-08-10T16:07:28+00:00
Foresight Solar Fund,flex_optimiser,ashby,foresight,https://api.ashbyhq.com/posting-api/job-board/foresight,1,2026-08-10T16:30:40+00:00
Grid Edge,flex_optimiser,bamboohr,gridedge,https://gridedge.bamboohr.com/careers/list,2,2026-08-10T16:14:28+00:00
Habitat Energy,flex_optimiser,teamtailor,habitat,https://habitat.teamtailor.com/jobs.rss,90,2026-08-10T16:04:31+00:00
Harmony Energy,flex_optimiser,personio,harmonyenergy,https://harmonyenergy.jobs.personio.com/xml,3,2026-08-10T16:04:33+00:00
Harmony Energy Income Trust,flex_optimiser,lever,harmony,https://api.lever.co/v0/postings/harmony?mode=json,9,2026-08-10T16:30:54+00:00
Kaluza,flex_optimiser,greenhouse,kaluza,https://boards-api.greenhouse.io/v1/boards/kaluza/jobs?content=false,19,2026-08-10T16:14:14+00:00
Kraken Technologies,flex_optimiser,pinpoint,kraken,https://kraken.pinpointhq.com/postings.json,4,2026-08-10T16:04:37+00:00
Lightsource bp,flex_optimiser,ashby,lightsource,https://api.ashbyhq.com/posting-api/job-board/lightsource,1,2026-08-10T16:11:37+00:00
Modo Energy,flex_optimiser,greenhouse,modoenergy,https://boards-api.greenhouse.io/v1/boards/modoenergy/jobs?content=false,17,2026-08-10T16:04:34+00:00
Next Kraftwerke,flex_optimiser,personio,next-kraftwerke,https://next-kraftwerke.jobs.personio.com/xml,2,2026-08-10T16:21:16+00:00
NextEnergy Capital,flex_optimiser,recruitee,nextenergy,https://nextenergy.recruitee.com/api/offers/,15,2026-08-10T16:07:20+00:00
NextEnergy Solar Fund,flex_optimiser,recruitee,nextenergy,https://nextenergy.recruitee.com/api/offers/,15,2026-08-10T16:30:38+00:00
Nidec ASI,flex_optimiser,teamtailor,nidec,https://nidec.teamtailor.com/jobs.rss,36,2026-08-10T16:21:44+00:00
Ocean Winds,flex_optimiser,ashby,ocean,https://api.ashbyhq.com/posting-api/job-board/ocean,2,2026-08-10T16:11:45+00:00
Ohme,flex_optimiser,greenhouse,ohme,https://boards-api.greenhouse.io/v1/boards/ohme/jobs?content=false,19,2026-08-10T16:14:27+00:00
Pacific Green,flex_optimiser,bamboohr,pacific,https://pacific.bamboohr.com/careers/list,9,2026-08-10T16:14:21+00:00
Pivot Power,flex_optimiser,ashby,pivot,https://api.ashbyhq.com/posting-api/job-board/pivot,6,2026-08-10T16:11:43+00:00
Pulse Clean Energy,flex_optimiser,ashby,pulse,https://api.ashbyhq.com/posting-api/job-board/pulse,9,2026-08-10T16:05:02+00:00
Return Energy,flex_optimiser,bamboohr,return,https://return.bamboohr.com/careers/list,2,2026-08-10T16:14:19+00:00
Ripple Energy,flex_optimiser,greenhouse,ripple,https://boards-api.greenhouse.io/v1/boards/ripple/jobs?content=false,130,2026-08-10T16:30:40+00:00
Root-Power,flex_optimiser,teamtailor,root,https://root.teamtailor.com/jobs.rss,3,2026-08-10T16:07:42+00:00
Schneider Electric,flex_optimiser,bamboohr,schneider,https://schneider.bamboohr.com/careers/list,10,2026-08-10T16:21:49+00:00
SmartestEnergy,flex_optimiser,teamtailor,smartestenergy,https://smartestenergy.teamtailor.com/jobs.rss,37,2026-08-10T16:04:34+00:00
Statera Energy,flex_optimiser,bamboohr,stateraenergy,https://stateraenergy.bamboohr.com/careers/list,1,2026-08-10T16:04:39+00:00
Stem Inc,flex_optimiser,rippling,stem-inc,https://api.rippling.com/platform/api/ats/v1/board/stem-inc/jobs,8,2026-08-10T16:21:41+00:00
Thrive Renewables,flex_optimiser,greenhouse,thrive,https://boards-api.greenhouse.io/v1/boards/thrive/jobs?content=false,3,2026-08-10T16:30:33+00:00
Vantage RE,flex_optimiser,ashby,vantage,https://api.ashbyhq.com/posting-api/job-board/vantage,7,2026-08-10T16:14:17+00:00
Voltus,flex_optimiser,lever,voltus,https://api.lever.co/v0/postings/voltus?mode=json,14,2026-08-10T16:21:24+00:00
Yu Energy,flex_optimiser,pinpoint,yuenergy,https://yuenergy.pinpointhq.com/postings.json,45,2026-08-10T16:04:42+00:00
AJ Bell,fund,pinpoint,ajbell,https://ajbell.pinpointhq.com/postings.json,4,2026-08-10T16:18:49+00:00
AQR Capital Management,fund,greenhouse,aqr,https://boards-api.greenhouse.io/v1/boards/aqr/jobs?content=false,47,2026-08-10T16:07:29+00:00
Adelphi Capital,fund,personio,adelphi,https://adelphi.jobs.personio.com/xml,2,2026-08-10T16:19:16+00:00
Ako Capital,fund,pinpoint,akocapital,https://akocapital.pinpointhq.com/postings.json,3,2026-08-10T16:14:51+00:00
Alliance Trust,fund,breezy,alliance,https://alliance.breezy.hr/json,5,2026-08-10T16:19:06+00:00
Amber Capital,fund,ashby,amber,https://api.ashbyhq.com/posting-api/job-board/amber,22,2026-08-10T16:19:16+00:00
Amber Infrastructure,fund,ashby,amber,https://api.ashbyhq.com/posting-api/job-board/amber,22,2026-08-10T16:10:30+00:00
Amber Infrastructure Group,fund,ashby,amber,https://api.ashbyhq.com/posting-api/job-board/amber,22,2026-08-10T16:22:54+00:00
Amundi,fund,bamboohr,amundi,https://amundi.bamboohr.com/careers/list,4,2026-08-10T16:08:54+00:00
Apax Partners,fund,recruitee,apax,https://apax.recruitee.com/api/offers/,2,2026-08-10T16:09:51+00:00
Apollo Global Management,fund,pinpoint,apollo,https://apollo.pinpointhq.com/postings.json,9,2026-08-10T16:09:46+00:00
Arcus Infrastructure Partners,fund,recruitee,arcus,https://arcus.recruitee.com/api/offers/,19,2026-08-10T16:10:29+00:00
Ares Management,fund,personio,ares,https://ares.jobs.personio.com/xml,5,2026-08-10T16:09:59+00:00
Arini,fund,ashby,arini,https://api.ashbyhq.com/posting-api/job-board/arini,1,2026-08-10T16:05:26+00:00
Artemis Investment Management,fund,ashby,artemis,https://api.ashbyhq.com/posting-api/job-board/artemis,16,2026-08-10T16:09:07+00:00
Aspect Capital,fund,bamboohr,aspect,https://aspect.bamboohr.com/careers/list,5,2026-08-10T16:05:40+00:00
Aurelius Capital,fund,bamboohr,aurelius,https://aurelius.bamboohr.com/careers/list,2,2026-08-10T16:22:52+00:00
BC Partners,fund,recruitee,bcpartners,https://bcpartners.recruitee.com/api/offers/,2,2026-08-10T16:09:54+00:00
Baillie Gifford,fund,pinpoint,bailliegifford,https://bailliegifford.pinpointhq.com/postings.json,4,2026-08-10T16:08:39+00:00
BlackRock,fund,bamboohr,blackrock,https://blackrock.bamboohr.com/careers/list,3,2026-08-10T16:08:28+00:00
Blue Owl Capital,fund,lever,blue,https://api.lever.co/v0/postings/blue?mode=json,10,2026-08-10T16:10:20+00:00
Blue Whale Capital,fund,lever,blue,https://api.lever.co/v0/postings/blue?mode=json,10,2026-08-10T16:18:28+00:00
BlueCrest Capital,fund,smartrecruiters,bluecrest,https://api.smartrecruiters.com/v1/companies/bluecrest/postings?limit=100,1,2026-08-10T16:05:43+00:00
Border to Coast Pensions,fund,pinpoint,bordertocoast,https://bordertocoast.pinpointhq.com/postings.json,3,2026-08-16T06:51:39+00:00
Bridgepoint,fund,pinpoint,bridgepoint,https://bridgepoint.pinpointhq.com/postings.json,5,2026-08-10T16:09:53+00:00
Brooks Macdonald,fund,bamboohr,brooks,https://brooks.bamboohr.com/careers/list,5,2026-08-10T16:09:33+00:00
C Hoare and Co,fund,pinpoint,hoaresbank,https://hoaresbank.pinpointhq.com/postings.json,3,2026-08-10T16:18:59+00:00
Capital Group,fund,lever,capital,https://api.lever.co/v0/postings/capital?mode=json,41,2026-08-10T16:09:12+00:00
Charles Stanley,fund,greenhouse,charles,https://boards-api.greenhouse.io/v1/boards/charles/jobs?content=false,3,2026-08-10T16:09:17+00:00
Coast Capital,fund,greenhouse,coast,https://boards-api.greenhouse.io/v1/boards/coast/jobs?content=false,19,2026-08-10T16:22:52+00:00
Crabel Capital Management,fund,greenhouse,crabel,https://boards-api.greenhouse.io/v1/boards/crabel/jobs?content=false,2,2026-08-10T16:21:45+00:00
DWS,fund,bamboohr,dws,https://dws.bamboohr.com/careers/list,5,2026-08-10T16:08:52+00:00
Diameter Capital Partners,fund,bamboohr,diametercapitalpartners,https://diametercapitalpartners.bamboohr.com/careers/list,3,2026-08-10T16:09:29+00:00
Dimensional Fund Advisors,fund,ashby,dimensional,https://api.ashbyhq.com/posting-api/job-board/dimensional,8,2026-08-10T16:22:02+00:00
Dunedin,fund,greenhouse,dunedin,https://boards-api.greenhouse.io/v1/boards/dunedin/jobs?content=false,3,2026-08-10T16:18:09+00:00
Dunn Capital Management,fund,bamboohr,dunn,https://dunn.bamboohr.com/careers/list,6,2026-08-10T16:22:09+00:00
Eagle Point Credit,fund,lever,eaglepointcredit,https://api.lever.co/v0/postings/eaglepointcredit?mode=json,6,2026-08-10T16:19:52+00:00
Edinburgh Partners,fund,greenhouse,edinburgh,https://boards-api.greenhouse.io/v1/boards/edinburgh/jobs?content=false,4,2026-08-10T16:18:27+00:00
Element Capital Management,fund,bamboohr,element,https://element.bamboohr.com/careers/list,4,2026-08-10T16:22:01+00:00
Engine Capital,fund,greenhouse,engine,https://boards-api.greenhouse.io/v1/boards/engine/jobs?content=false,67,2026-08-10T16:23:04+00:00
Equitix,fund,bamboohr,equitix,https://equitix.bamboohr.com/careers/list,5,2026-08-10T16:10:06+00:00
ExodusPoint,fund,greenhouse,exoduspoint,https://boards-api.greenhouse.io/v1/boards/exoduspoint/jobs?content=false,2,2026-08-10T16:05:14+00:00
Finisterre Capital,fund,rippling,finisterre,https://api.rippling.com/platform/api/ats/v1/board/finisterre/jobs,13,2026-08-10T16:19:27+00:00
GMO,fund,lever,gmo,https://api.lever.co/v0/postings/gmo?mode=json,9,2026-08-10T16:22:05+00:00
Gladstone Capital,fund,bamboohr,gladstone,https://gladstone.bamboohr.com/careers/list,3,2026-08-10T16:14:57+00:00
Graham Capital Management,fund,greenhouse,grahamcapitalmanagement,https://boards-api.greenhouse.io/v1/boards/grahamcapitalmanagement/jobs?content=false,9,2026-08-10T16:22:11+00:00
Hg,fund,pinpoint,hgcapital,https://hgcapital.pinpointhq.com/postings.json,1,2026-08-10T16:10:05+00:00
Hudson Bay Capital,fund,teamtailor,hudson,https://hudson.teamtailor.com/jobs.rss,7,2026-08-10T16:09:49+00:00
ISAM,fund,greenhouse,isam,https://boards-api.greenhouse.io/v1/boards/isam/jobs?content=false,20,2026-08-10T16:21:46+00:00
InfraRed Capital Partners,fund,bamboohr,ircp,https://ircp.bamboohr.com/careers/list,5,2026-08-10T16:10:08+00:00
Janus Henderson,fund,recruitee,janus,https://janus.recruitee.com/api/offers/,1,2026-08-10T16:08:45+00:00
Kairos Partners,fund,bamboohr,kairos,https://kairos.bamboohr.com/careers/list,4,2026-08-10T16:19:34+00:00
Kite Lake Capital,fund,greenhouse,kite,https://boards-api.greenhouse.io/v1/boards/kite/jobs?content=false,1,2026-08-10T16:05:51+00:00
LMR Partners,fund,greenhouse,lmr,https://boards-api.greenhouse.io/v1/boards/lmr/jobs?content=false,8,2026-08-10T16:05:40+00:00
Legal and General Investment Management,fund,recruitee,legal,https://legal.recruitee.com/api/offers/,1,2026-08-10T16:08:57+00:00
Lynx Asset Management,fund,teamtailor,lynxassetmanagement,https://lynxassetmanagement.teamtailor.com/jobs.rss,1,2026-08-10T16:19:36+00:00
Man Group,fund,greenhouse,mangroup,https://boards-api.greenhouse.io/v1/boards/mangroup/jobs?content=false,60,2026-08-10T16:05:11+00:00
Marathon Asset Management,fund,pinpoint,marathon,https://marathon.pinpointhq.com/postings.json,3,2026-08-10T16:09:13+00:00
Marathon Asset Management US,fund,pinpoint,marathon,https://marathon.pinpointhq.com/postings.json,3,2026-08-10T16:23:15+00:00
Marble Bar Asset Management,fund,ashby,marble,https://api.ashbyhq.com/posting-api/job-board/marble,5,2026-08-10T16:19:47+00:00
Marshall Wace,fund,greenhouse,marshallwace,https://boards-api.greenhouse.io/v1/boards/marshallwace/jobs?content=false,1,2026-08-10T16:05:28+00:00
Meridiam,fund,recruitee,meridiam,https://meridiam.recruitee.com/api/offers/,2,2026-08-10T16:10:04+00:00
MetLife Investment Management,fund,lever,metlife,https://api.lever.co/v0/postings/metlife?mode=json,39,2026-08-10T16:22:11+00:00
NGP Energy Capital,fund,pinpoint,ngp,https://ngp.pinpointhq.com/postings.json,3,2026-08-10T16:15:30+00:00
Napier Park Global Capital,fund,pinpoint,napier,https://napier.pinpointhq.com/postings.json,2,2026-08-10T16:09:40+00:00
Ninety One,fund,rippling,ninety,https://api.rippling.com/platform/api/ats/v1/board/ninety/jobs,1,2026-08-10T16:09:06+00:00
North Asset Management,fund,bamboohr,north,https://north.bamboohr.com/careers/list,2,2026-08-10T16:19:53+00:00
Northern Trust Asset Management,fund,bamboohr,northern,https://northern.bamboohr.com/careers/list,5,2026-08-10T16:09:33+00:00
Numeric Investors,fund,ashby,numeric,https://api.ashbyhq.com/posting-api/job-board/numeric,21,2026-08-10T16:22:30+00:00
Oaktree Capital Management,fund,bamboohr,oaktree,https://oaktree.bamboohr.com/careers/list,12,2026-08-10T16:10:09+00:00
Pacific Asset Management,fund,bamboohr,pacific,https://pacific.bamboohr.com/careers/list,9,2026-08-10T16:18:55+00:00
Pharo Management,fund,greenhouse,pharomanagement,https://boards-api.greenhouse.io/v1/boards/pharomanagement/jobs?content=false,12,2026-08-10T16:19:24+00:00
Point72,fund,greenhouse,point72,https://boards-api.greenhouse.io/v1/boards/point72/jobs?content=false,231,2026-08-10T16:05:18+00:00
Polar Capital,fund,ashby,polar,https://api.ashbyhq.com/posting-api/job-board/polar,5,2026-08-10T16:08:54+00:00
Prosperity Capital Management,fund,personio,prosperity,https://prosperity.jobs.personio.com/xml,3,2026-08-10T16:19:48+00:00
Quantica Capital,fund,personio,quantica,https://quantica.jobs.personio.com/xml,3,2026-08-10T16:19:51+00:00
Quantum Capital Group,fund,ashby,quantum,https://api.ashbyhq.com/posting-api/job-board/quantum,11,2026-08-10T16:15:25+00:00
Quilter,fund,ashby,quilter,https://api.ashbyhq.com/posting-api/job-board/quilter,5,2026-08-10T16:09:04+00:00
RPM Risk and Portfolio Management,fund,bamboohr,rpm,https://rpm.bamboohr.com/careers/list,8,2026-08-10T16:21:55+00:00
Royal London Asset Management,fund,personio,royal,https://royal.jobs.personio.com/xml,2,2026-08-10T16:09:01+00:00
Sandbar Asset Management,fund,ashby,sandbar,https://api.ashbyhq.com/posting-api/job-board/sandbar,13,2026-08-10T16:10:12+00:00
Schonfeld,fund,greenhouse,schonfeld,https://boards-api.greenhouse.io/v1/boards/schonfeld/jobs?content=false,54,2026-08-10T16:05:14+00:00
Schroders,fund,pinpoint,schroders,https://schroders.pinpointhq.com/postings.json,5,2026-08-10T16:08:29+00:00
Seilern Investment Management,fund,bamboohr,seilern,https://seilern.bamboohr.com/careers/list,1,2026-08-10T16:19:15+00:00
Silver Point Capital,fund,ashby,silver,https://api.ashbyhq.com/posting-api/job-board/silver,45,2026-08-10T16:09:39+00:00
Sona Asset Management,fund,ashby,sona,https://api.ashbyhq.com/posting-api/job-board/sona,11,2026-08-10T16:06:13+00:00
Sunrise Capital Partners,fund,greenhouse,sunrise,https://boards-api.greenhouse.io/v1/boards/sunrise/jobs?content=false,17,2026-08-10T16:22:23+00:00
Symmetry Investments,fund,greenhouse,symmetry,https://boards-api.greenhouse.io/v1/boards/symmetry/jobs?content=false,2,2026-08-10T16:15:14+00:00
TCI Fund Management,fund,bamboohr,tci,https://tci.bamboohr.com/careers/list,3,2026-08-10T16:05:52+00:00
Tikehau Capital,fund,smartrecruiters,tikehaucapital,https://api.smartrecruiters.com/v1/companies/tikehaucapital/postings?limit=100,1,2026-08-10T16:09:59+00:00
Two Sigma,fund,teamtailor,two,https://two.teamtailor.com/jobs.rss,2,2026-08-10T16:07:48+00:00
Veritas Asset Management,fund,recruitee,veritas,https://veritas.recruitee.com/api/offers/,1,2026-08-10T16:09:28+00:00
Vitruvian Partners,fund,bamboohr,vitruvianpartners,https://vitruvianpartners.bamboohr.com/careers/list,2,2026-08-10T16:10:02+00:00
Voya Investment Management,fund,personio,voya,https://voya.jobs.personio.com/xml,2,2026-08-10T16:22:40+00:00
Winton,fund,greenhouse,winton,https://boards-api.greenhouse.io/v1/boards/winton/jobs?content=false,10,2026-08-10T16:05:11+00:00
Zebedee Capital Partners,fund,pinpoint,zebedee,https://zebedee.pinpointhq.com/postings.json,1,2026-08-10T16:20:10+00:00
AXIS Capital,insurance,teamtailor,axis,https://axis.teamtailor.com/jobs.rss,2,2026-08-16T06:51:35+00:00
Admiral Group,insurance,pinpoint,admiralgroup,https://admiralgroup.pinpointhq.com/postings.json,5,2026-08-16T06:51:16+00:00
Aegis London,insurance,rippling,aegis,https://api.rippling.com/platform/api/ats/v1/board/aegis/jobs,34,2026-08-10T16:23:33+00:00
Ageas UK,insurance,personio,ageas,https://ageas.jobs.personio.com/xml,3,2026-08-16T06:51:30+00:00
Apollo Underwriting,insurance,pinpoint,apollo,https://apollo.pinpointhq.com/postings.json,9,2026-08-10T16:23:40+00:00
Arch Insurance,insurance,ashby,arch,https://api.ashbyhq.com/posting-api/job-board/arch,6,2026-08-10T16:23:21+00:00
Argo Group,insurance,personio,argo,https://argo.jobs.personio.com/xml,10,2026-08-10T16:23:21+00:00
Ark Insurance,insurance,greenhouse,ark,https://boards-api.greenhouse.io/v1/boards/ark/jobs?content=false,5,2026-08-10T16:23:31+00:00
Ascot Group,insurance,pinpoint,ascot,https://ascot.pinpointhq.com/postings.json,5,2026-08-10T16:10:29+00:00
Atrium Underwriters,insurance,bamboohr,atrium,https://atrium.bamboohr.com/careers/list,2,2026-08-10T16:23:41+00:00
CFC Underwriting,insurance,pinpoint,cfcunderwriting,https://cfcunderwriting.pinpointhq.com/postings.json,66,2026-08-10T16:23:19+00:00
Canopius,insurance,pinpoint,canopius,https://canopius.pinpointhq.com/postings.json,4,2026-08-10T16:10:10+00:00
Conduit Re,insurance,bamboohr,conduitre,https://conduitre.bamboohr.com/careers/list,1,2026-08-10T16:10:15+00:00
Everest Insurance,insurance,recruitee,everest,https://everest.recruitee.com/api/offers/,3,2026-08-10T16:23:57+00:00
Gallagher,insurance,bamboohr,gallagher,https://gallagher.bamboohr.com/careers/list,15,2026-08-10T16:10:32+00:00
Hamilton Insurance,insurance,pinpoint,hamiltongroup,https://hamiltongroup.pinpointhq.com/postings.json,4,2026-08-10T16:23:10+00:00
Howden Group,insurance,recruitee,howden,https://howden.recruitee.com/api/offers/,37,2026-08-10T16:10:35+00:00
Just Group,insurance,pinpoint,justgroup,https://justgroup.pinpointhq.com/postings.json,5,2026-08-16T06:51:19+00:00
Liberty Specialty Markets,insurance,bamboohr,liberty,https://liberty.bamboohr.com/careers/list,4,2026-08-10T16:23:18+00:00
Lockton,insurance,smartrecruiters,lockton,https://api.smartrecruiters.com/v1/companies/lockton/postings?limit=100,1,2026-08-10T16:10:22+00:00
MS Amlin,insurance,pinpoint,msamlin,https://msamlin.pinpointhq.com/postings.json,4,2026-08-10T16:10:15+00:00
Markel International,insurance,smartrecruiters,markel,https://api.smartrecruiters.com/v1/companies/markel/postings?limit=100,1,2026-08-10T16:23:06+00:00
Miller Insurance,insurance,pinpoint,miller,https://miller.pinpointhq.com/postings.json,1,2026-08-10T16:10:53+00:00
Munich Re,insurance,bamboohr,munichre,https://munichre.bamboohr.com/careers/list,1,2026-08-10T16:10:20+00:00
Nexus Underwriting,insurance,greenhouse,nexus,https://boards-api.greenhouse.io/v1/boards/nexus/jobs?content=false,4,2026-08-10T16:23:32+00:00
Pen Underwriting,insurance,bamboohr,pen,https://pen.bamboohr.com/careers/list,8,2026-08-10T16:23:40+00:00
Sompo International,insurance,pinpoint,sompo-intl,https://sompo-intl.pinpointhq.com/postings.json,2,2026-08-10T16:23:07+00:00
Starr Insurance,insurance,recruitee,starr,https://starr.recruitee.com/api/offers/,5,2026-08-10T16:23:29+00:00
WTW,insurance,smartrecruiters,wtw,https://api.smartrecruiters.com/v1/companies/wtw/postings?limit=100,7,2026-08-10T16:10:19+00:00
Capital Gas,lng,lever,capital,https://api.lever.co/v0/postings/capital?mode=json,41,2026-08-10T16:15:37+00:00
Commonwealth LNG,lng,pinpoint,commonwealthlng,https://commonwealthlng.pinpointhq.com/postings.json,43,2026-08-10T16:15:37+00:00
Excelerate Energy,lng,ashby,excelerate,https://api.ashbyhq.com/posting-api/job-board/excelerate,5,2026-08-10T16:05:14+00:00
Flex LNG,lng,greenhouse,flex,https://boards-api.greenhouse.io/v1/boards/flex/jobs?content=false,43,2026-08-10T16:15:39+00:00
Gate Terminal,lng,recruitee,gateterminal,https://gateterminal.recruitee.com/api/offers/,7,2026-08-10T16:29:42+00:00
Golden Pass LNG,lng,rippling,golden,https://api.rippling.com/platform/api/ats/v1/board/golden/jobs,7,2026-08-10T16:29:50+00:00
Grain LNG,lng,teamtailor,grain,https://grain.teamtailor.com/jobs.rss,13,2026-08-10T16:29:56+00:00
New Fortress Energy,lng,greenhouse,new,https://boards-api.greenhouse.io/v1/boards/new/jobs?content=false,1,2026-08-10T16:11:17+00:00
NextDecade,lng,pinpoint,next-decade,https://next-decade.pinpointhq.com/postings.json,5,2026-08-10T16:11:05+00:00
Petronas LNG,lng,pinpoint,petronas,https://petronas.pinpointhq.com/postings.json,4,2026-08-10T16:29:53+00:00
Venture Global,lng,bamboohr,venture,https://venture.bamboohr.com/careers/list,4,2026-08-10T16:05:22+00:00
Aker BP,major,teamtailor,akerbp,https://akerbp.teamtailor.com/jobs.rss,11,2026-08-10T16:10:44+00:00
Aker Solutions,major,smartrecruiters,akersolutions,https://api.smartrecruiters.com/v1/companies/akersolutions/postings?limit=100,1,2026-08-10T16:28:20+00:00
Baker Hughes,major,breezy,baker,https://baker.breezy.hr/json,1,2026-08-10T16:28:36+00:00
Baron Oil,major,smartrecruiters,baron,https://api.smartrecruiters.com/v1/companies/baron/postings?limit=100,5,2026-08-10T16:29:49+00:00
Capricorn Energy,major,breezy,capricorn,https://capricorn.breezy.hr/json,23,2026-08-10T16:10:59+00:00
Chariot Limited,major,ashby,chariot,https://api.ashbyhq.com/posting-api/job-board/chariot,15,2026-08-10T16:29:30+00:00
Diamond Offshore,major,teamtailor,diamond,https://diamond.teamtailor.com/jobs.rss,66,2026-08-10T16:28:51+00:00
Diversified Energy,major,lever,div,https://api.lever.co/v0/postings/div?mode=json,1,2026-08-10T16:10:40+00:00
KBR,major,breezy,kbr,https://kbr.breezy.hr/json,14,2026-08-10T16:28:37+00:00
Kuwait Petroleum,major,bamboohr,kpc,https://kpc.bamboohr.com/careers/list,2,2026-08-10T16:13:42+00:00
Neptune Energy,major,ashby,neptune,https://api.ashbyhq.com/posting-api/job-board/neptune,4,2026-08-10T16:11:01+00:00
Noble Corporation,major,greenhouse,noble,https://boards-api.greenhouse.io/v1/boards/noble/jobs?content=false,2,2026-08-10T16:28:56+00:00
Petrofac Engineering,major,pinpoint,petrofac,https://petrofac.pinpointhq.com/postings.json,3,2026-08-10T16:28:59+00:00
Petronas,major,pinpoint,petronas,https://petronas.pinpointhq.com/postings.json,4,2026-08-10T16:10:50+00:00
Pharos Energy,major,ashby,pharos,https://api.ashbyhq.com/posting-api/job-board/pharos,1,2026-08-10T16:29:18+00:00
SLB,major,personio,slb,https://slb.jobs.personio.com/xml,7,2026-08-10T16:28:29+00:00
Samsung Heavy Industries,major,recruitee,samsung,https://samsung.recruitee.com/api/offers/,1,2026-08-10T16:29:07+00:00
Shelf Drilling,major,greenhouse,shelf,https://boards-api.greenhouse.io/v1/boards/shelf/jobs?content=false,9,2026-08-10T16:28:47+00:00
Transocean,major,bamboohr,deepwater,https://deepwater.bamboohr.com/careers/list,1,2026-08-10T16:28:33+00:00
Union Jack Oil,major,ashby,union,https://api.ashbyhq.com/posting-api/job-board/union,2,2026-08-10T16:29:10+00:00
United Oil and Gas,major,teamtailor,united,https://united.teamtailor.com/jobs.rss,15,2026-08-10T16:29:47+00:00
Vantage Drilling,major,ashby,vantage,https://api.ashbyhq.com/posting-api/job-board/vantage,7,2026-08-10T16:28:49+00:00
Williams Companies,major,teamtailor,williams,https://williams.teamtailor.com/jobs.rss,5,2026-08-10T16:10:57+00:00
Alfred H Knight,metals,bamboohr,ahkgroup,https://ahkgroup.bamboohr.com/careers/list,63,2026-08-10T16:25:14+00:00
BHP,metals,pinpoint,bhp,https://bhp.pinpointhq.com/postings.json,5,2026-08-10T16:11:34+00:00
Derichebourg,metals,personio,derichebourg,https://derichebourg.jobs.personio.com/xml,15,2026-08-10T16:31:49+00:00
Endeavour Mining,metals,smartrecruiters,endeavourmining,https://api.smartrecruiters.com/v1/companies/endeavourmining/postings?limit=100,1,2026-08-10T16:11:39+00:00
Harmony Gold,metals,lever,harmony,https://api.lever.co/v0/postings/harmony?mode=json,9,2026-08-10T16:15:43+00:00
Liberty Steel,metals,bamboohr,liberty,https://liberty.bamboohr.com/careers/list,4,2026-08-10T16:32:15+00:00
Ocean Partners,metals,ashby,ocean,https://api.ashbyhq.com/posting-api/job-board/ocean,2,2026-08-10T16:25:49+00:00
Rand Refinery,metals,pinpoint,rand,https://rand.pinpointhq.com/postings.json,5,2026-08-10T16:26:14+00:00
Rio Tinto,metals,bamboohr,rio,https://rio.bamboohr.com/careers/list,4,2026-08-10T16:11:49+00:00
Sharps Pixley,metals,teamtailor,sharps,https://sharps.teamtailor.com/jobs.rss,6,2026-08-10T16:26:06+00:00
Stena Recycling,metals,teamtailor,stena,https://stena.teamtailor.com/jobs.rss,4,2026-08-10T16:32:08+00:00
Thyssenkrupp Materials,metals,pinpoint,thyssenkrupp,https://thyssenkrupp.pinpointhq.com/postings.json,8,2026-08-10T16:32:03+00:00
Tiberius Group,metals,lever,tiberius,https://api.lever.co/v0/postings/tiberius?mode=json,10,2026-08-10T16:25:59+00:00
Amprion,power_gas,rippling,amprion,https://api.rippling.com/platform/api/ats/v1/board/amprion/jobs,4,2026-08-10T16:26:35+00:00
Andel,power_gas,ashby,andel,https://api.ashbyhq.com/posting-api/job-board/andel,1,2026-08-10T16:28:18+00:00
Austrian Power Grid,power_gas,pinpoint,austrian,https://austrian.pinpointhq.com/postings.json,2,2026-08-10T16:27:05+00:00
BBL Company,power_gas,bamboohr,bbl,https://bbl.bamboohr.com/careers/list,2,2026-08-10T16:27:37+00:00
Budget Energie,power_gas,recruitee,budgetenergie,https://budgetenergie.recruitee.com/api/offers/,6,2026-08-10T16:28:11+00:00
ElecLink,power_gas,teamtailor,eleclink,https://eleclink.teamtailor.com/jobs.rss,1,2026-08-10T16:27:13+00:00
Fingrid,power_gas,teamtailor,fingrid,https://fingrid.teamtailor.com/jobs.rss,4,2026-08-10T16:26:45+00:00
Fuse Energy,power_gas,ashby,fuse,https://api.ashbyhq.com/posting-api/job-board/fuse,17,2026-08-10T16:13:01+00:00
Gasunie,power_gas,smartrecruiters,gasunie,https://api.smartrecruiters.com/v1/companies/gasunie/postings?limit=100,1,2026-08-10T16:26:50+00:00
Greenchoice,power_gas,recruitee,greenchoice,https://greenchoice.recruitee.com/api/offers/,17,2026-08-10T16:28:06+00:00
